Team                       , FDCOUK               , City                   , Stadium                                       , Capacity, Latitude  , Longitude , Country
Arsenal                    , Arsenal              , London                 , Emirates Stadium                              ,    60361, 51.555    , -0.108611 , Inghilterra
Aston Villa                , Aston Villa          , Birmingham             , Villa Park                                    ,    42785, 52.509167 , -1.884722 , Inghilterra
Blackburn Rovers           , Blackburn            , Blackburn              , Ewood Park                                    ,    31154, 53.728611 , -2.489167 , Inghilterra
Bolton Wanderers           , Bolton               , Bolton                 , Reebok Stadium                                ,    28100, 53.580556 , -2.535556 , Inghilterra
Chelsea                    , Chelsea              , London                 , Stamford Bridge                               ,    42449, 51.481667 , -0.191111 , Inghilterra
Everton                    , Everton              , Liverpool              , Hill Dickinson                                ,    52888, 53.438889 , -2.966389 , Inghilterra
Fulham                     , Fulham               , London                 , Craven Cottage                                ,    25700, 51.475    , -0.221667 , Inghilterra
Liverpool                  , Liverpool            , Liverpool              , Anfield                                       ,    61276, 53.430819 , -2.960828 , Inghilterra
Manchester City            , Man City             , Manchester             , Etihad Stadium                                ,    47405, 53.482989 , -2.200292 , Inghilterra
Manchester United          , Man United           , Stretford              , Old Trafford                                  ,    75811, 53.463056 , -2.291389 , Inghilterra
Newcastle United           , Newcastle            , Newcastle upon Tyne    , Sports Direct Arena                           ,    52409, 54.975556 , -1.621667 , Inghilterra
Norwich City               , Norwich              , Norwich                , Carrow Road                                   ,    27010, 52.622128 , 1.308653  , Inghilterra
Queens Park Rangers        , QPR                  , London                 , Loftus Road                                   ,    18439, 51.509167 , -0.232222 , Inghilterra
Stoke City                 , Stoke                , Stoke-on-Trent         , Britannia Stadium                             ,    27740, 52.988333 , -2.175556 , Inghilterra
Sunderland                 , Sunderland           , Sunderland             , Stadium of Light                              ,    48707, 54.9144   , -1.3882   , Inghilterra
Swansea City               , Swansea              , Swansea                , Liberty Stadium                               ,    20520, 51.6422   , -3.9351   , Inghilterra
Tottenham Hotspur          , Tottenham            , London                 , Tottenham Hotspur Stadium                     ,    62850, 51.603333 , -0.065833 , Inghilterra
West Bromwich Albion       , West Brom            , West Bromwich          , The Hawthorns                                 ,    27877, 52.509167 , -1.963889 , Inghilterra
Wigan Athletic             , Wigan                , Wigan                  , DW Stadium                                    ,    25133, 53.547778 , -2.653889 , Inghilterra
